"user_ID","followBy"
"669-67-2865","885-94-6711"
"669-67-2865","236-90-9702"
"669-67-2865","314-56-5730"
"669-67-2865","700-14-3211"
"669-67-2865","657-01-5683"
"669-67-2865","889-28-8850"
"669-67-2865","668-92-9213"
"669-67-2865","701-85-0322"
"669-67-2865","155-02-6633"
"669-67-2865","267-22-3335"
"669-67-2865","538-65-7880"
"669-67-2865","210-35-2163"
"669-67-2865","238-75-7529"
"669-67-2865","697-06-9705"
"669-67-2865","235-78-6321"
"154-73-1589","669-67-2865"
"154-73-1589","491-89-1638"
"154-73-1589","443-71-3005"
"154-73-1589","399-80-5040"
"154-73-1589","454-14-3481"
"154-73-1589","756-75-7159"
"154-73-1589","512-95-8176"
"154-73-1589","698-08-6716"
"491-89-1638","697-06-9705"
"491-89-1638","235-78-6321"
"491-89-1638","226-31-3986"
"491-89-1638","221-80-6260"
"491-89-1638","709-63-1539"
"491-89-1638","721-79-3001"
"491-89-1638","621-65-3981"
"491-89-1638","632-46-2963"
"491-89-1638","889-18-6919"
"491-89-1638","744-15-3877"
"491-89-1638","634-03-8491"
"491-89-1638","489-34-2511"
"491-89-1638","714-13-3212"
"491-89-1638","798-24-9672"
"491-89-1638","343-20-9576"
"491-89-1638","745-70-9437"
"491-89-1638","754-84-6459"
"443-71-3005","226-31-3986"
"443-71-3005","221-80-6260"
"443-71-3005","709-63-1539"
"443-71-3005","721-79-3001"
"443-71-3005","621-65-3981"
"443-71-3005","632-46-2963"
"443-71-3005","889-18-6919"
"399-80-5040","669-67-2865"
"399-80-5040","154-73-1589"
"399-80-5040","491-89-1638"
"399-80-5040","443-71-3005"
"399-80-5040","889-18-6919"
