"user_ID","page_ID","level"
"698-08-6716","40-4329271",13
"698-08-6716","92-5527298",4
"698-08-6716","91-4399439",8
"771-36-7505","79-3267892",12
"771-36-7505","02-7497635",2
"771-36-7505","33-0251457",6
"771-36-7505","91-4399439",4
"669-67-2865","40-4329271",12
"668-92-9213","02-7497635",11
"538-65-7880","92-5527298",12
"889-18-6919","99-6905221",12
"721-79-3001","98-4208928",11
"538-65-7880","91-7808757",13
"721-79-3001","02-5754483",11
"155-02-6633","07-4350989",13
"538-65-7880","25-4008710",10
"155-02-6633","22-8914754",13
"744-15-3877","90-0035153",13
"657-01-5683","91-4399439",1
"889-28-8850","91-4399439",2
"668-92-9213","91-4399439",2
"701-85-0322","91-4399439",2
"155-02-6633","91-4399439",2
"267-22-3335","91-4399439",2
"538-65-7880","91-4399439",2
"210-35-2163","91-4399439",2
"238-75-7529","91-4399439",2
"697-06-9705","91-4399439",2
"235-78-6321","91-4399439",2
"226-31-3986","91-4399439",2
"221-80-6260","91-4399439",2
"709-63-1539","91-4399439",2
"721-79-3001","91-4399439",2
"621-65-3981","91-4399439",8
"632-46-2963","91-4399439",5
"889-18-6919","91-4399439",5
"744-15-3877","91-4399439",5
"634-03-8491","91-4399439",5
"489-34-2511","91-4399439",5
"714-13-3212","91-4399439",5
"798-24-9672","91-4399439",9
"343-20-9576","91-4399439",9
"745-70-9437","91-4399439",9
"754-84-6459","91-4399439",9
"846-30-6274","91-4399439",11
"775-71-1967","91-4399439",11
"657-01-5683","90-0035153",5
"889-28-8850","90-0035153",5
"668-92-9213","90-0035153",5
"701-85-0322","90-0035153",5
"155-02-6633","90-0035153",5
"267-22-3335","90-0035153",5
"538-65-7880","90-0035153",5
"210-35-2163","90-0035153",5
"238-75-7529","90-0035153",5
"697-06-9705","90-0035153",5
"235-78-6321","90-0035153",5
"226-31-3986","90-0035153",5
"221-80-6260","90-0035153",7
"709-63-1539","90-0035153",9
"721-79-3001","90-0035153",9
"621-65-3981","90-0035153",9
"632-46-2963","90-0035153",9
"889-18-6919","90-0035153",9
"744-15-3877","90-0035153",6
"634-03-8491","90-0035153",6
"489-34-2511","90-0035153",6
"714-13-3212","90-0035153",4
"798-24-9672","90-0035153",4
"343-20-9576","90-0035153",4
"745-70-9437","90-0035153",4
"754-84-6459","90-0035153",4
"846-30-6274","90-0035153",2
"775-71-1967","90-0035153",2
