"user_ID","firstName","lastName","phoneNum","street","city","state","zipCode"
"154-73-1589","Jesse","Delhay","626-284-5196","Delladonna","Corona","California",92883
"155-02-6633","Latrina","Gashion","707-643-2028","Springview","Santa Rosa","California",95405
"210-35-2163","Elmer","Kondratovich","412-520-0001","Waxwing","Pittsburgh","Pennsylvania",15274
"221-80-6260","Pernell","Capponeer","406-203-9981","Arrowood","Helena","Montana",59623
"226-31-3986","Lazarus","Sancraft","770-968-7680","Claremont","Atlanta","Georgia",30306
"235-78-6321","Brion","Douris","865-966-9329","Old Shore","Knoxville","Tennessee",37924
"236-90-9702","Fernando","Woofinden","314-570-6992","Sachtjen","Saint Louis","Missouri",63121
"238-75-7529","Oneida","Edinburgh","212-547-0067","Butterfield","New York City","New York",10090
"267-22-3335","Normand","Bontine","617-365-9753","Eastlawn","Boston","Massachusetts",2216
"314-56-5730","Xavier","Marcum","417-207-5242","Victoria","Springfield","Missouri",65810
"343-20-9576","Meredith","Goschalk","617-183-0900","Mcguire","Boston","Massachusetts",2216
"399-80-5040","Ferdinanda","Treasaden","712-821-0917","Graedel","Sioux City","Iowa",51110
"430-17-6488","Harris","Dedman","904-200-1508","Dryden","Jacksonville","Florida",32204
"443-71-3005","Nevin","Curtois","213-856-4622","Village","Los Angeles","California",90030
"454-14-3481","Sandy","Abrahams","417-412-7078","Debra","Springfield","Missouri",65805
"489-34-2511","Thomasine","Chiverstone","712-540-3508","Lerdahl","Sioux City","Iowa",51110
"491-89-1638","Ferguson","Montel","214-186-2544","Springs","Dallas","Texas",75387
"506-34-1359","Lydon","Spraging","336-476-7986","Hollow Ridge","High Point","North Carolina",27264
"512-95-8176","Hugo","Langfat","305-108-0111","Debs","Naples","Florida",33961
"535-76-7116","Ki","Benitti","412-133-4234","Clemons","Pittsburgh","Pennsylvania",15240
"538-65-7880","Alethea","Iwaszkiewicz","757-962-4408","Dahle","Norfolk","Virginia",23509
"603-81-9761","Waneta","Gratrex","513-206-5800","Bowman","Cincinnati","Ohio",45208
"621-65-3981","Anson","Delacour","646-179-7589","Mcguire","New York City","New York",10099
"632-46-2963","Patrice","Comini","413-957-5287","Blackbird","Springfield","Massachusetts",1114
"634-03-8491","Raphaela","Dicty","915-662-7186","Petterle","El Paso","Texas",88579
"657-01-5683","Selia","Elston","334-550-5560","Lawn","Montgomery","Alabama",36177
"657-69-1519","Felipa","Blaw","419-794-4889","Kenwood","Toledo","Ohio",43666
"668-92-9213","Lissa","Bannester","205-785-3923","Bayside","Tuscaloosa","Alabama",35487
"669-67-2865","Avrom","Breddy","305-867-8070","Nancy","Miami","Florida",33261
"697-06-9705","Ira","Kearns","703-530-6648","Lighthouse Bay","Alexandria","Virginia",22301
"698-08-6716","Percy","Blackboro","918-543-2738","Valley Edge","Tulsa","Oklahoma",74170
"700-14-3211","Anderea","Stutter","405-709-2500","Stoughton","Norman","Oklahoma",73071
"701-85-0322","Saundra","Exer","402-700-4129","Vera","Omaha","Nebraska",68117
"705-16-6228","Emelita","Kruschov","509-528-7946","Beilfuss","Spokane","Washington",99205
"709-63-1539","Stephana","Fishpool","706-661-2736","Bayside","Athens","Georgia",30605
"714-13-3212","Finn","De Simoni","208-232-1637","Dryden","Boise","Idaho",83716
"716-03-1407","Deeanne","Sailor","916-585-2126","Onsgard","Sacramento","California",94280
"721-79-3001","Kellina","Wrefford","915-712-0663","Butternut","El Paso","Texas",79934
"744-15-3877","Sella","Maith","602-947-8980","Ilene","Glendale","Arizona",85311
"745-70-9437","Hillary","Flieg","512-316-4254","Thierer","Austin","Texas",78789
"754-84-6459","Doreen","Lerway","563-333-5048","School","Davenport","Iowa",52809
"756-75-7159","Abran","Bliss","702-404-7690","Shopko","North Las Vegas","Nevada",89036
"771-36-7505","Jacklin","Darington","701-952-8856","Namekagon","Fargo","North Dakota",58122
"775-71-1967","Kamila","Treacher","408-277-8204","Mandrake","San Jose","California",95155
"798-24-9672","Allyce","Joist","313-619-1896","Birchwood","Detroit","Michigan",48232
"846-30-6274","Clay","Inmett","303-793-8019","Monica","Denver","Colorado",80249
"873-47-1165","Yvette","Higgonet","910-485-4945","Red Cloud","Fayetteville","North Carolina",28305
"885-94-6711","Thor","Betjes","915-676-6975","New Castle","El Paso","Texas",88541
"889-18-6919","Beaufort","Spencelayh","239-998-6637","Hagan","Naples","Florida",33963
"889-28-8850","Ewen","Dimbleby","859-910-3548","Pleasure","Lexington","Kentucky",40591
